Item (prelim.),Shape,Pattern,Size_A,Size_B,Size_C,Size_D,Size_E,Size_F,Colour_A,Colour_B,Colour_C,Colour_D,Colour_E,Colour_F,Marked,Context,sentence_1,sentence_2,Condition,List (prelim.)
84,Haus,y,9,10,9,2,6,6,8,5,5,5,5,5,1,Conny meint gegenüber Chris:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,farbe_unscharf,2
85,Linie,x,9,10,10,3,1,5,8,6,6,6,6,6,1,Conny meint gegenüber Toni:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_unscharf,4
86,Linie,x,10,9,9,3,2,5,6,8,8,8,8,8,1,Maxi meint gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_unscharf,1
87,Linie,x,9,10,9,6,3,1,5,7,7,7,7,7,1,Toni meint gegenüber Alex:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_unscharf,2
88,Linie,x,10,9,9,1,5,6,8,6,6,6,6,6,1,Dani meint gegenüber Conny:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_unscharf,3
89,Linie,x,9,9,10,5,5,2,5,7,7,7,7,7,1,Alex meint gegenüber Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_unscharf,1
90,Linie,x,10,9,10,3,4,1,7,8,8,8,8,8,1,Maxi meint gegenüber Toni:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_unscharf,2
91,Linie,y,9,9,10,5,3,6,8,6,6,6,6,6,1,Conny meint gegenüber Toni:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_unscharf,3
92,Linie,y,9,9,9,4,1,6,6,8,8,8,8,8,1,Maxi meint gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_unscharf,4
93,Linie,y,9,10,9,5,5,1,5,7,7,7,7,7,1,Toni meint gegenüber Alex:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_unscharf,2
94,Linie,y,9,10,9,5,6,2,8,5,5,5,5,5,1,Dani meint gegenüber Conny:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_unscharf,3
95,Linie,y,10,10,9,4,4,6,5,7,7,7,7,7,1,Alex meint gegenüber Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_unscharf,4
96,Linie,y,10,9,10,1,5,5,7,8,8,8,8,8,1,Maxi meint gegenüber Toni:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_unscharf,1
97,Ball,x,10,5,2,6,6,3,6,6,8,8,8,6,1,Maxi erwähnt gegenüber Toni:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_unscharf,3
98,Ball,x,10,1,1,1,5,1,8,8,7,7,7,8,1,Toni erwähnt gegenüber Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,grosse_unscharf,4
99,Ball,x,9,5,6,4,5,5,6,6,6,5,5,5,1,Chris erwähnt gegenüber Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_unscharf,1
100,Ball,x,10,2,1,4,4,5,7,6,6,6,7,7,1,Alex erwähnt gegenüber Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_unscharf,2
101,Ball,x,10,4,6,5,6,1,7,8,8,8,7,7,1,Dani erwähnt gegenüber Conny:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_unscharf,4
102,Ball,x,9,1,2,3,3,1,5,5,5,7,7,7,1,Alex erwähnt gegenüber Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_unscharf,1
103,Ball,y,9,2,3,4,2,6,6,6,6,5,5,5,1,Maxi erwähnt gegenüber Toni:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_unscharf,2
104,Ball,y,9,6,1,2,6,2,8,8,6,6,6,8,1,Toni erwähnt gegenüber Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,grosse_unscharf,3
105,Ball,y,9,4,6,3,4,5,6,7,7,6,7,6,1,Chris erwähnt gegenüber Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,grosse_unscharf,1
106,Ball,y,9,1,2,3,4,6,7,7,8,8,7,8,1,Alex erwähnt gegenüber Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_unscharf,2
107,Ball,y,10,1,3,4,6,4,7,5,5,5,7,7,1,Dani erwähnt gegenüber Conny:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,grosse_unscharf,3
108,Ball,y,10,6,2,2,4,3,5,5,5,6,6,6,1,Alex erwähnt gegenüber Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,grosse_unscharf,4
109,Haus,x,10,2,1,3,4,4,7,7,7,8,8,8,1,Chris erwähnt gegenüber Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,2
110,Haus,x,10,6,6,1,1,1,6,6,6,7,7,7,1,Alex erwähnt gegenüber Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_unscharf,3
111,Haus,x,10,5,5,2,6,1,7,7,7,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,4
112,Haus,x,10,1,4,3,4,6,8,7,7,7,8,8,1,Conny erwähnt gegenüber Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,grosse_unscharf,1
113,Haus,x,10,5,4,1,3,3,6,6,5,5,5,6,1,Dani erwähnt gegenüber Conny:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_unscharf,3
114,Haus,x,9,2,3,3,2,4,7,7,7,8,8,8,1,Toni erwähnt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,4
115,Haus,y,10,5,4,2,4,4,7,7,6,6,6,7,1,Chris erwähnt gegenüber Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,1
116,Haus,y,9,1,5,3,1,2,6,6,7,7,7,6,1,Alex erwähnt gegenüber Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_unscharf,2
117,Haus,y,9,1,5,5,6,1,7,7,7,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,4
118,Haus,y,10,5,1,3,2,5,8,8,8,7,7,8,1,Conny erwähnt gegenüber Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,grosse_unscharf,1
119,Haus,y,9,3,4,1,6,6,6,6,5,5,5,6,1,Dani erwähnt gegenüber Conny:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,grosse_unscharf,2
120,Haus,y,9,6,1,6,1,1,7,8,7,8,8,7,1,Toni erwähnt gegenüber Chris:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,grosse_unscharf,3
121,Linie,x,10,4,5,6,2,2,6,7,6,7,6,7,1,Conny erwähnt gegenüber Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,1
122,Linie,x,9,4,5,2,2,6,6,5,5,5,6,6,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,2
123,Linie,x,10,6,1,3,4,2,7,7,8,7,8,8,1,Toni erwähnt gegenüber Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,grosse_unscharf,3
124,Linie,x,9,6,4,1,2,5,5,5,6,5,6,6,1,Dani erwähnt gegenüber Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,grosse_unscharf,4
125,Linie,x,10,3,1,1,2,3,6,6,6,8,8,8,1,Chris erwähnt gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,2
126,Linie,x,10,5,2,4,6,5,6,6,6,5,5,5,1,Conny erwähnt gegenüber Chris:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,3
127,Linie,y,9,5,5,2,6,2,6,6,6,7,7,7,1,Conny erwähnt gegenüber Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,4
128,Linie,y,10,1,6,6,4,2,6,6,6,8,8,8,1,Maxi erwähnt gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,1
129,Linie,y,10,3,4,4,1,4,7,7,5,5,5,7,1,Toni erwähnt gegenüber Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,grosse_unscharf,3
130,Linie,y,9,6,6,2,4,2,5,5,5,8,8,8,1,Dani erwähnt gegenüber Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,grosse_unscharf,4
131,Linie,y,10,1,5,6,2,4,6,6,6,5,5,5,1,Chris erwähnt gegenüber Alex:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,1
132,Linie,y,10,3,5,6,6,1,6,6,6,8,8,8,1,Conny erwähnt gegenüber Chris:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,grosse_unscharf,2
133,Ball,x,10,9,10,1,2,3,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,farbe_scharf,4
134,Ball,x,9,10,10,3,1,1,8,5,5,5,5,5,1,Toni sagt zu Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,farbe_scharf,1
135,Ball,x,10,10,9,3,3,3,6,8,8,8,8,8,1,Chris sagt zu Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,farbe_scharf,2
136,Ball,x,10,9,10,2,1,1,7,5,5,5,5,5,1,Alex sagt zu Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,farbe_scharf,3
137,Ball,x,9,10,10,1,3,2,5,7,7,7,7,7,1,Dani sagt zu Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,farbe_scharf,1
138,Ball,x,10,10,9,1,3,3,7,6,6,6,6,6,1,Toni sagt zu Chris:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,farbe_scharf,2
139,Ball,y,9,9,10,3,3,1,5,6,6,6,6,6,1,Dani sagt zu Chris:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,farbe_scharf,3
140,Ball,y,9,10,10,3,1,1,8,7,7,7,7,7,1,Toni sagt zu Conny:,Ich mag den großen schwarzen Ball.,Ich mag den schwarzen großen Ball. ,farbe_scharf,4
141,Ball,y,9,9,10,3,1,1,6,5,5,5,5,5,1,Chris sagt zu Conny:,Ich mag den großen blauen Ball.,Ich mag den blauen großen Ball. ,farbe_scharf,2
142,Ball,y,10,10,9,2,3,1,7,8,8,8,8,8,1,Alex sagt zu Toni:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,farbe_scharf,3
143,Ball,y,9,10,9,1,2,1,5,7,7,7,7,7,1,Dani sagt zu Conny:,Ich mag den großen orangenen Ball.,Ich mag den orangenen großen Ball.,farbe_scharf,4
144,Ball,y,10,9,9,3,3,1,7,6,6,6,6,6,1,Toni sagt zu Chris:,Ich mag den großen grauen Ball.,Ich mag den grauen großen Ball. ,farbe_scharf,1
145,Haus,x,9,10,10,3,3,1,7,6,6,6,6,6,1,Chris sagt zu Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,farbe_scharf,3
146,Haus,x,10,10,10,1,3,1,6,8,8,8,8,8,1,Alex sagt zu Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,4
147,Haus,x,10,10,10,2,2,3,7,6,6,6,6,6,1,Conny sagt zu Chris:,Ich mag das hohe graue Haus. ,Ich mag das graue hohe Haus. ,farbe_scharf,1
148,Haus,x,9,10,10,2,2,1,8,5,5,5,5,5,1,Conny sagt zu Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,farbe_scharf,2
149,Haus,x,9,9,9,1,1,1,6,8,8,8,8,8,1,Chris sagt zu Alex:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,4
150,Haus,x,9,10,10,3,2,1,6,5,5,5,5,5,1,Conny sagt zu Chris:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
151,Haus,y,10,10,9,1,3,3,7,6,6,6,6,6,1,Chris sagt zu Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,farbe_scharf,2
152,Haus,y,9,10,10,1,2,2,6,5,5,5,5,5,1,Alex sagt zu Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,3
153,Haus,y,10,9,10,1,1,3,7,5,5,5,5,5,1,Conny sagt zu Chris:,Ich mag das hohe graue Haus. ,Ich mag das graue hohe Haus. ,farbe_scharf,1
154,Haus,y,10,10,10,1,3,1,8,6,6,6,6,6,1,Conny sagt zu Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,farbe_scharf,2
155,Haus,y,9,10,10,2,2,1,6,8,8,8,8,8,1,Chris sagt zu Alex:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,3
156,Haus,y,9,10,9,3,3,3,6,5,5,5,5,5,1,Conny sagt zu Chris:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,4
157,Linie,x,9,10,10,2,2,2,6,8,8,8,8,8,1,Conny sagt zu Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,2
158,Linie,x,10,9,9,1,3,1,8,6,6,6,6,6,1,Maxi sagt zu Alex:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,3
159,Linie,x,9,10,9,2,3,1,7,5,5,5,5,5,1,Toni sagt zu Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_scharf,4
160,Linie,x,10,9,9,3,1,2,5,6,6,6,6,6,1,Dani sagt zu Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_scharf,1
161,Linie,x,9,9,10,2,1,3,6,7,7,7,7,7,1,Alex sagt zu Conny:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,3
162,Linie,x,10,9,10,2,1,1,8,7,7,7,7,7,1,Maxi sagt zu Toni:,Ich mag das lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,4
163,Linie,y,9,9,10,1,1,1,6,8,8,8,8,8,1,Conny sagt zu Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,1
164,Linie,y,9,9,9,1,3,2,8,6,6,6,6,6,1,Maxi sagt zu Alex:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,2
165,Linie,y,9,10,9,1,2,2,7,5,5,5,5,5,1,Toni sagt zu Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_scharf,4
166,Linie,y,9,10,9,2,3,1,5,8,8,8,8,8,1,Dani sagt zu Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_scharf,1
167,Linie,y,10,10,9,1,3,3,6,7,7,7,7,7,1,Alex sagt zu Conny:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,2
168,Linie,y,10,9,10,2,1,1,8,7,7,7,7,7,1,Maxi sagt zu Toni:,Ich mag das lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,3
169,Ball,x,10,10,9,2,3,1,6,5,5,5,5,5,1,Chris sagt zu Dani: ,Ich mag den neuen blauen Ball. ,Ich mag den blauen neuen Ball. ,ueb,100
170,Linie,x,9,6,4,5,2,1,7,8,8,8,8,8,2,Maxi sagt zu Chris:,Ich mag die graue Linie.,Ich mag die dicke Linie. ,ueb,100
171,Haus,y,10,9,2,3,10,1,8,5,8,8,5,5,3,Toni sagt zu Conny: ,Ich mag das hohe schwarze Haus.,Ich mag das hohe Haus. ,ueb,100
