Item (prelim.),Shape,Pattern,Size_A,Size_B,Size_C,Size_D,Size_E,Size_F,Colour_A,Colour_B,Colour_C,Colour_D,Colour_E,Colour_F,Marked,Context,sentence_1,sentence_2,Condition,List (prelim.)
148,Haus,x,10,3,4,4,2,2,8,6,6,6,6,6,1,Conny sagt zu Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,farbe_scharf,1
149,Haus,x,9,3,2,2,1,4,6,5,5,5,5,5,1,Chris sagt zu Alex:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
150,Haus,x,9,2,1,2,4,1,6,8,8,8,8,8,1,Conny sagt zu Chris:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
151,Haus,y,10,4,4,3,2,1,7,6,6,6,6,6,1,Chris sagt zu Dani:,Ich mag das hohe graue Haus.,Ich mag das graue hohe Haus. ,farbe_scharf,1
152,Haus,y,9,2,4,1,3,2,6,7,7,7,7,7,1,Alex sagt zu Maxi:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
153,Haus,y,9,3,3,2,1,1,7,5,5,5,5,5,1,Conny sagt zu Chris:,Ich mag das hohe graue Haus. ,Ich mag das graue hohe Haus. ,farbe_scharf,1
154,Haus,y,10,3,3,4,2,2,8,6,6,6,6,6,1,Conny sagt zu Dani:,Ich mag das hohe schwarze Haus.,Ich mag das schwarze hohe Haus. ,farbe_scharf,1
155,Haus,y,9,3,2,2,1,4,6,5,5,5,5,5,1,Chris sagt zu Alex:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
156,Haus,y,9,2,1,2,4,1,6,8,8,8,8,8,1,Conny sagt zu Chris:,Ich mag das hohe blaue Haus.,Ich mag das blaue hohe Haus.,farbe_scharf,1
157,Linie,x,10,4,3,4,2,1,6,8,8,8,8,8,1,Conny sagt zu Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,1
158,Linie,x,10,4,3,3,2,2,8,6,6,6,6,6,1,Maxi sagt zu Alex:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,1
159,Linie,x,9,4,1,1,1,1,7,5,5,5,5,5,1,Toni sagt zu Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_scharf,1
160,Linie,x,10,4,4,2,1,4,5,8,8,8,8,8,1,Dani sagt zu Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_scharf,1
161,Linie,x,10,3,2,1,2,1,6,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,1
162,Linie,x,10,3,2,1,2,1,8,6,6,6,6,6,1,Maxi sagt zu Toni:,Ich mag das lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,1
163,Linie,y,10,4,3,4,2,1,6,8,8,8,8,8,1,Conny sagt zu Toni:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,1
164,Linie,y,10,4,3,3,2,2,8,6,6,6,6,6,1,Maxi sagt zu Alex:,Ich mag die lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,1
165,Linie,y,9,4,1,1,1,1,7,5,5,5,5,5,1,Toni sagt zu Alex:,Ich mag die lange graue Linie.,Ich mag die graue lange Linie. ,farbe_scharf,1
166,Linie,y,10,4,3,2,1,4,5,8,8,8,8,8,1,Dani sagt zu Conny:,Ich mag die lange orangene Linie.,Ich mag die orangene lange Linie. ,farbe_scharf,1
167,Linie,y,9,3,2,1,2,1,6,8,8,8,8,8,1,Alex sagt zu Conny:,Ich mag die lange blaue Linie.,Ich mag die blaue lange Linie. ,farbe_scharf,1
168,Linie,y,10,4,2,3,2,1,8,6,6,6,6,6,1,Maxi sagt zu Toni:,Ich mag das lange schwarze Linie.,Ich mag die schwarze lange Linie. ,farbe_scharf,1
