id,conditions,item,slider_value,read_time,image_error
60f9714583ed9,farbe_scharf,138,73,[11458],False
60f9714583ed9,farbe_scharf,154,100,[4326],False
60f9714583ed9,farbe_unscharf,90,100,[12974],False
60f9714583ed9,grosse_unscharf,132,100,[7064],False
60f9714583ed9,grosse_scharf,42,100,[8441],False
60f9714583ed9,grosse_unscharf,119,100,[7850],False
60f9714583ed9,farbe_scharf,167,100,[19882],False
60f9714583ed9,grosse_unscharf,106,100,[5695],False
60f9714583ed9,grosse_scharf,26,100,[7369],False
60f9714583ed9,farbe_unscharf,93,100,[8531],False
60f9714583ed9,grosse_unscharf,122,100,[6985],False
60f9714583ed9,dap,22,0,[9562],False
60f9714583ed9,dap,10,0,[6611],False
60f9714583ed9,farbe_unscharf,84,100,[6400],False
60f9714583ed9,farbe_unscharf,71,96,[6289],False
60f9714583ed9,grosse_scharf,29,0,[9262],False
60f9714583ed9,dap,11,100,[8765],False
60f9714583ed9,farbe_unscharf,68,100,[7475],False
60fd32d015fdf,dap,17,98,[12021],False
60fd32d015fdf,dap,24,98,[7348],False
60fd32d015fdf,farbe_scharf,165,0,[12618],False
60fd32d015fdf,grosse_unscharf,130,74,[26809],False
60fd32d015fdf,dap,11,99,[10498],False
60fd32d015fdf,grosse_scharf,37,2,[8597],False
60fd32d015fdf,grosse_scharf,53,65,[7631],False
60fd32d015fdf,farbe_unscharf,66,2,[7629],False
60fd32d015fdf,dap,4,99,[6015],False
60fd32d015fdf,farbe_unscharf,92,17,[8027],False
60fd32d015fdf,dap,18,97,[6437],False
60fd32d015fdf,grosse_scharf,47,3,[6083],False
60fd32d015fdf,grosse_unscharf,127,4,[5928],False
60fd32d015fdf,dap,8,91,[8945],False
60fd32d015fdf,dap,1,0,[12282],False
60fd32d015fdf,grosse_scharf,28,3,[5761],False
60fd32d015fdf,dap,5,1,[5362],False
60fd32d015fdf,dap,3,74,[10124],False
60fd32d015fdf,grosse_scharf,44,2,[6907],False
60fd32d015fdf,farbe_unscharf,69,13,[9370],False
60fd32d015fdf,dap,13,8,[7200],False
60fd32d015fdf,grosse_unscharf,114,4,[7527],False
60fd32d015fdf,grosse_scharf,34,2,[7054],False
60fd32d015fdf,farbe_unscharf,82,0,[8540],False
60fd32d015fdf,dap,21,2,[4881],False
60fd32d015fdf,grosse_unscharf,98,1,[7056],False
60fd32d015fdf,dap,2,100,[15348],False
60fd32d015fdf,dap,7,3,[8524],False
60fd32d015fdf,dap,23,0,"[8285, 15139]",False
60fd32d015fdf,farbe_unscharf,95,-1,[19080],False
60fd32d015fdf,farbe_scharf,140,1,[8323],False
60fd32d015fdf,farbe_unscharf,63,1,[7197],False
60fd32d015fdf,farbe_scharf,146,1,[19969],False
60fd32d015fdf,grosse_scharf,60,5,[5739],False
60fd32d015fdf,dap,16,97,[5311],False
60fd32d015fdf,dap,6,98,[7773],False
60fd32d015fdf,grosse_unscharf,124,17,[8510],False
60fd32d015fdf,dap,22,9,[6193],False
60fd32d015fdf,farbe_scharf,159,0,[4528],False
60fd32d015fdf,farbe_scharf,162,71,[12989],False
60fd32d015fdf,grosse_unscharf,101,0,[7173],False
60fd32d015fdf,dap,14,98,[4503],False
60fd32d015fdf,dap,20,97,[4854],False
60fd32d015fdf,dap,10,98,[5574],False
60fd32d015fdf,grosse_scharf,31,2,[5660],False
60fd32d015fdf,farbe_scharf,133,2,[13899],False
60fd32d015fdf,dap,15,2,[4631],False
60fd32d015fdf,dap,12,11,[5833],False
60fd32d015fdf,dap,19,100,[8460],False
